amount;unit;comment;flow;name;location
190.0;EUR2005;Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org). UN comtrade category: 681019 Tiles & flagstones of cement, concrete, artificial ston. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 5 main markets (EU, US, JP, IN and CN).;8b7d9b96-9303-4886-80dc-7e9d6eb858cc;concrete production, for building construction, with cement CEM II/B;RoW
0.436;EUR2005;Convert from EU 27 price to the world by currency exchange rate.;8e583c86-9411-4087-a357-490a05d6b928;market for sugar, from sugar beet;GLO
8.98;EUR2005;Prices are calculated on basis of Import data (kg US$) from UN statistics (http://data.un.org ) Name of commodity: Pesticides, rodenticides, nes, for retail sale;fb76d2b4-16bb-4373-bcdf-03545f362b83;dichloropropene to generic market for pesticide, unspecified;GLO
2004542632.0;EUR2005;Convert from EU 27 price to the world by currency exchange rate.;0d3c67a6-3b18-4010-9703-47da3569fbc7;paper mill construction, non-integrated;RoW
0.616;EUR2005;Temporary price data.Same price as basic steel from European Union statistics;dc4f7e30-5436-4f74-af37-2c7164239032;market for steel removed by turning, primarily roughing, conventional;GLO
0.0597;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;2341598f-166d-4f0c-97d2-0077a191b11f;market group for transport, freight, lorry 28 metric ton, vegetable oil methyl ester 100%;GLO
0.534;EUR2005;Cross reference: Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org) is 1.93 Euro/kg. UN comtrade category: 283699 Carbonates of metals nes. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 5 main markets (EU, US, JP, IN and CN).;0b4d69f9-6b39-4232-948b-62b7b4f0d3d8;market for copper concentrate, sulfide ore;GLO
0.0106;EUR2005;Average European district heat price from Ecoheatcool and Euroheat 2005-2006, Ecoheat Work package 1: The European heat market. Final report. 10.6 EUR/GJ i s the price of district heat. http://www.solarthermalworld.org/files/Ecoheatcool%20WP1%20Web.pdf?download;71e2f1db-a2c5-44d0-8337-dfff15be974d;heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas;TW
0.0977;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 94% of the average price (to account for a 6% loss in transformation and transmission) for electricity for industrial consumersin 2005 (excluded taxes). From IEA.;66c93e71-f32b-4591-901c-55395db5c132;electricity, high voltage, import from BG;MK
1.29;EUR2005;Calculated from EU prices by use of exchange rates.;e69cca3a-6e2a-4638-b9e7-09927dcf1c95;polyvinylchloride production, suspension polymerisation;RER
