Filename;ActivityName;Location;ReferenceProduct
9eefbfdb-5172-527f-bad9-366476f560d7_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW;IN-CT;heat, district or industrial, other than natural gas
6c73ecbf-5732-5bbc-bb40-b72517541180_dc36f6d4-125b-4554-b43e-8e518757d859.spold;potato seed production, organic, at farm;CH;potato seed, organic, at farm
b425449d-36f0-51fb-bbbe-a727c7a9f097_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;IN-AS;electricity, high voltage
c191b452-a777-5137-a66c-9e834a8ecab5_9faff831-114e-44fd-a77e-90eada520e81.spold;market for steel in car shredder residue;RoW;steel in car shredder residue
79d38969-a783-5c9f-9ec2-152fde1a2a91_b2c93044-6228-4950-833f-230346726d61.spold;heat transport fluid system construction, solar thermal parabolic trough, 50 MW;RoW;heat transport fluid system, solar thermal parabolic trough, 50 MW
8544865b-eedc-51be-a04a-7d71167a993a_80bd675f-3b29-4734-a244-0284c165fcee.spold;market for used window frame, wood-metal;GLO;used window frame, wood-metal
46bcacd1-0408-5d35-a5e1-fbae25f9fb92_29026153-01e0-4b94-9ba5-173e3986ed08.spold;alkylbenzene sulfonate production, linear, petrochemical;RoW;alkylbenzene sulfonate, linear, petrochemical
2ad68b99-6f08-5ac1-8d0c-024590247666_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from RO;RoW;natural gas, high pressure
3fe29c8a-e4f0-5fe5-83df-6e7bf3c57f6e_3f5f5aef-3833-43d4-8b81-44123105afd7.spold;market group for irrigation;GLO;irrigation
ab2bbbba-c9e2-511d-aeee-86e0a78c9ef1_4c2b6470-79f6-40e4-b6c0-08a769c9ab04.spold;maleic anhydride production by catalytic oxidation of benzene;RER;maleic anhydride
a7748c67-5d1f-51fc-a00f-8f650a2ee3e6_fa61e123-954d-4c67-a47a-215cc17a7f00.spold;market for NMC111 oxide;RoW;NMC111 oxide
b98c5d0d-776b-56a9-a0c8-f4a7b3b964a7_361e78e0-0094-48d2-b9a2-2c70921e5c1e.spold;market for neodymium oxide;GLO;neodymium oxide
d8e05ae2-a8f3-5af9-87c4-8abb30138c2b_6b616734-8a30-5329-910d-eff2286d9b63.spold;market for navy bean seed, for sowing;GLO;navy bean seed, for sowing
12bc8701-345b-51a5-b01f-574837db28b7_039d3944-e16b-4baf-8153-35752757a05d.spold;molecular sieve separation of naphtha;RoW;hexane
37f3a5c0-dbdf-5b53-96cd-fcbc68c6d822_e9661fc2-f27f-4b41-87cc-2d55a4bee0cd.spold;market for flat glass, uncoated;RoW;flat glass, uncoated
0ab6b488-3cf9-5306-ab3a-d26de8f3559d_3611bfa6-d86b-4f22-af89-2f5f813ccb5c.spold;chloropropionic acid production;RoW;chloropropionic acid
24a2c29f-e6f7-55f7-a701-e677254db90a_a7abd72a-4d9c-4f99-abfc-3de79d425a96.spold;market for wood ash mixture, pure;RoW;wood ash mixture, pure
aa85eb6a-e183-55c8-ad2f-aeb787c4383f_b35296a0-5be1-4095-9b9b-ac629f3f0920.spold;market for glass etching factory;GLO;glass etching factory
73234f5a-ed2c-57d3-aa27-bb27f6826f5a_de99a473-81ac-4a93-b118-f9d03d9c0cd8.spold;market for cast iron removed by turning, primarily dressing, computer numerical controlled;GLO;cast iron removed by turning, primarily dressing, computer numerical controlled
8838c731-b08f-56b6-9dff-6b60304c8556_da85af95-9191-4be6-aa68-e0a980c28785.spold;market for transport, freight, lorry 7.5-16 metric ton, EURO1;ZA;transport, freight, lorry 7.5-16 metric ton, EURO1
88a35f84-a3ea-51b8-bac5-cbe2011c0aba_66c93e71-f32b-4591-901c-55395db5c132.spold;market group for electricity, high voltage;RAF;electricity, high voltage
d20e55c0-019d-5e82-9419-55b7ec46f3de_d67e647c-1f74-4961-81c0-5b144f1ca082.spold;excavation, skid-steer loader;RER;excavation, skid-steer loader
b27154c5-5a6b-570c-8424-7822015348c0_fbb039f7-f9cc-46d2-b631-313ddb125c1a.spold;gold mine operation and refining;SE;copper, cathode
8f048d75-3286-5fd8-b478-2db2570a766b_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, pumped storage;CA-NB;electricity, high voltage
